Vertical,Company Name,Website,City,State,Size/Ownership Signal,Verification,Watch Flag
HVAC,Air Innovations LLC,airinnovationsllc.com,Cypress,TX,"Family-owned since 2005; ACCA member",WebFetch,
HVAC,Reliant Air Conditioning,reliantairconditioning.com,Irving/DFW,TX,"Since 1983; site states ""unaffected by private equity firms""",WebFetch,
HVAC,Southern Comfort Heating & Air Services,callsoutherncomfort.com,Sugar Land/Richmond/Missouri City,TX,"Locally owned; 3 offices; BBB A+",WebFetch,
HVAC,Smart Air Cooling & Heating,houstonsmartair.com,Houston,TX,"Family owned; long-tenured, no exact year",WebFetch,
HVAC,"Team Air Conditioning & Heating, Inc.",teamairhvac.com,Orlando/Clermont/The Villages,FL,"Family-owned; 40+ yr team; 140+ reviews",WebFetch,
HVAC,"All Year Cooling & Heating, Inc.",allyearheating.com,Kernersville,NC,"Since 1989; 10,000+ systems installed",WebFetch,
HVAC,East Ohio Furnace Co.,eastohiofurnace.com,Akron,OH,"Family owned since 1977 (49 yrs); 3 counties",WebFetch,
HVAC,"W.W. Heating & Air Conditioning, Inc.",wwheating.com,North Lima,OH,"Family owned 35+ yrs; BBB Torch Award",WebFetch,
HVAC,Mission Heating & Cooling,tucsonazheatingandcooling.com,Tucson,AZ,"Family/locally owned 15+ yrs",WebFetch,
HVAC,REEIS Heating & Air Conditioning Services,reeis.com,Phoenix,AZ,"Since 2009; #1 Trane dealer AZ 2020-24; 7+ cities",WebFetch,
HVAC,AZ Perfect Comfort Heating & Cooling,azperfectcomfort.com,Phoenix,AZ,"Veteran/family-owned since 2015; owners named",WebFetch,
HVAC,Worlock Air Conditioning & Heating,worlockair.com,Peoria,AZ,"Family owned since 1987 (39 yrs)",WebFetch,
HVAC,"PV Heating, Cooling & Plumbing",pvhvac.com,Atlanta,GA,"Family-owned since 2008, 3 brothers; 5,000+ maintenance members, 20+ cities",WebFetch,
HVAC,"Cool-Tech HVAC, Inc.",cool-techhvac.com,Ball Ground/Canton,GA,"Family owned since 2003 (20+ yrs); 2 locations",WebFetch,
HVAC,Central Heating & Air Conditioning,centralheatofga.com,Norcross,GA,"Since 1947 (78 yrs); explicitly not PE/foreign-owned",WebFetch,Possible >$5M scale
HVAC,Georgia Home Heating & Air,georgiahomeac.com,Woodstock,GA,"Privately owned; ""not an absentee corporate franchise""",WebFetch,
HVAC,The Air Company of GA,theaircompanyga.com,Atlanta,GA,"Family owned; 2 locations; 380+ reviews",WebFetch,
HVAC,UniColorado Heating & Cooling,unicolorado.com,Denver metro,CO,"Locally owned since 2014; founder 37 yrs experience; ""small team""",WebFetch,
HVAC,Parker's Heating & Cooling,parkershvac.com,Murfreesboro/Nashville,TN,"Family owned since 1992 (33 yrs); NATE-certified",WebFetch,
HVAC,GENT Heating & Cooling,gentheatandcool.com,Knoxville,TN,"Family-owned, founded by Shane & Ralynne Gent",WebFetch,
HVAC,"Burkholder's Heating & Air Conditioning, Inc.",burkholders-hvac.com,Emmaus,PA,"Family owned since 1960 (65 yrs); 2nd generation",WebFetch,
HVAC,Hannabery HVAC,hannabery.com,Allentown/Quakertown/Clarks Summit,PA,"Family owned since 1972 (54 yrs); 3 locations",WebFetch,
HVAC,Hoffner Heating & Air Conditioning LLC,hoffnerheatingandair.com,Pitcairn/Pittsburgh,PA,"Family owned ~1991 (30+ yrs); 4 counties",WebFetch,
HVAC,River City Heating & Air,rivercityheatingair.com,Richmond,VA,"Locally owned since 2006; explicitly ""not a faceless corporation""",WebFetch,
HVAC,"Americool Heating & Cooling, Inc.",americoolva.com,Richmond,VA,"Family owned 19+ yrs; Trane Comfort Specialist",WebFetch,
HVAC,Engelsma Heating & Cooling,engelsmaheating.com,Grand Rapids,MI,"Locally owned; multi-generational, 40+ yrs",WebFetch,
HVAC,Bartlett Plumbing and Heating,bartlettplumbingheatingmi.com,Grand Ledge/Lansing,MI,"Family owned since 2010; grew from 1-man to team of 15",WebFetch,
HVAC,Blue Heating and Cooling,blueheatingandcooling.com,Parkville/Kansas City,MO,"Family owned since 2010; owner 21 yrs experience",WebFetch,
HVAC,A-1 HVAC,a-1hvackc.com,Kansas City,KS,"Family owned; 2 lines suggest multi-location; 20+ communities",WebFetch,
HVAC,"Air Dynamics of Tulsa, LLC",airdynamicsoftulsa.com,Tulsa,OK,"Family owned, father-son, since 2003 (22 yrs)",WebFetch,
HVAC,Air Assurance,airassurance.com,Broken Arrow/Tulsa,OK,"Since 1985 (40 yrs); ""largest full-service fleet""",WebFetch,Possible >$5M scale
HVAC,Mark Hill Heating & Air Inc.,findmarkhill.com,Tulsa,OK,"Privately held since 1967 (57 yrs); #1 OK Trane dealer",WebFetch,
HVAC,Stoudenmire Heating & Air Conditioning,stoudenmireheating.com,Columbia,SC,"Family owned since 1959 (65 yrs); 15+ vehicles, 20+ techs",WebFetch,Possible >$5M scale
HVAC,Coastal Carolina Comfort LLC,coastalcarolinahvac.com,Summerville,SC,"Family owned since 2019; NATE-certified",WebFetch,
HVAC,"Howald Heating, Air Conditioning and Plumbing",howaldheatingandair.com,Indianapolis,IN,"Independent/family-run; 40-yr customer relationships cited",WebFetch,
HVAC,Brewer Heating & Cooling,brewercomfort.com,Indianapolis/Greenwood,IN,"Family owned; recently acquired Mark IV (organic growth, not PE); 886+ reviews",WebFetch,
HVAC,High Tech Heating & A/C Inc.,hightechheatingandac.com,Cottage Grove/Madison,WI,"Family owned since 1986 (37 yrs)",WebFetch,
HVAC,RJ Heating and Air Conditioning,rjheatingair.com,Milwaukee,WI,"""A Family Affair Since 1976"" (48 yrs); owners named",WebFetch,
HVAC,Cline's Heating and Air,clinesairconditioning.com,Spokane Valley,WA,"Family/veteran-owned since 1988; now owned by Boston family",WebFetch,
HVAC,Accuflo Air Systems LLC,accuflospokane.com,Spokane Valley,WA,"Owner-operated since 2001 (23 yrs)",WebFetch,
HVAC,McCormack Heating & Cooling Inc,mccormackheatingandcooling.com,Huntsville,AL,"Family owned since 1972 (52 yrs); Carrier Factory Authorized Dealer",WebFetch,
Plumbing,Military Plumbing,militaryplumbing.com,Dallas-Fort Worth / NE TX,TX,"Family-owned, faith-driven, Master Licensed team",WebFetch,
Plumbing,EZ Flow Plumbing,ezflowplumbingtexas.com,Austin,TX,"Family owned since 2009 by Navy veteran; grew from 1 van to a fleet",WebFetch,
Plumbing,Jennings Plumbing Services,jpstx.pro,Little Elm,TX,"Family owned since 2003; Master Plumber-led",WebFetch,
Plumbing,Santhoff Plumbing,santhoffplumbingco.com,Houston,TX,"Veteran-owned, family-operated since 1974 (~50 yrs)",Snippet-verified (403 on fetch),
Plumbing,Amanda Plumbing,amandaplumbing.com,Delaware/Powell,OH,"Family/veteran/woman-owned, 2nd-gen, since 1995",WebFetch,
Plumbing,The Plumbing Source,plumbingsource.net,Bedford Heights,OH,"Locally owned since 1985; multi-location dispatch; 1,196 reviews",WebFetch,
Plumbing,Paramount Plumbing Inc.,paramountplumbinginc.com,Wadsworth,OH,"Family owned since 1989; ranged 3-30+ plumbers; 200-300 new homes/yr",WebFetch,Strong size fit
Plumbing,Colorado Water Works,coloradowaterworks.com,Englewood,CO,"Family owned by Master Plumber Tom Suman",WebFetch,
Plumbing,Greater Western Plumbing,greaterwesternplumbing.com,Denver,CO,"Locally owned since 2011; started with ""just a truck""",WebFetch,
Plumbing,Waters of Life Plumbing,watersoflifeplumbing.com,Denver,CO,"Family owned since 2001, passed to son 2020; 9+ staff",WebFetch,
Plumbing,Everett Plumbing and Drains,epdhomeservices.com,Front Range,CO,"Explicitly ""100% independently owned...not affiliated with any franchise""",WebFetch,
Plumbing,Cross & Sons Plumbing,crossandsonsplumbing.com,Villa Rica,GA,"Family owned since 1976 (~48 yrs); BBB A+",WebFetch,
Plumbing,Superior Plumbing,superiorplumbing.com,Kennesaw,GA,"Owned by master plumber Jay Cunningham since 1988; 514 combined yrs experience",WebFetch,
Plumbing,FitzGerald & Sons Plumbing,fitzgeraldplumbing.com,Peachtree City,GA,"Family owned, 3 generations, since 1984",WebFetch,
Plumbing,DL Plumbing Contractors,dlplumbingcontractors.com,Fleming Island,FL,"Family/independently owned since 2016; 3 counties",WebFetch,
Plumbing,Betros Plumbing,betrosplumbing.com,Jacksonville,FL,"Family owned since 1968 (~57 yrs); 2nd location in Tampa",WebFetch,
Plumbing,Johnny Doan Plumbing,doanplumbing.com,Seffner,FL,"Independent/family owned since 1969; 4 counties",WebFetch,
Plumbing,DePasquali Plumbing (DPI),dpi3generations.com,Clairton/Pittsburgh,PA,"3rd-generation family owned, 70+ yrs",WebFetch,
Plumbing,Family Roots Plumbing,familyrootsplumbing.com,Wayne/King of Prussia,PA,"Family owned, 2nd-gen, 60+ yrs; grew from 1-truck outfit",WebFetch,
Plumbing,Bucci Plumbing,bucciplumbing.com,West Homestead,PA,"Family owned, 40+ yrs",Snippet-verified (403 on fetch),
Plumbing,Scott's Plumbing Company,scottsplumbing.net,Knoxville,TN,"Family owned since 1977 (~48 yrs)",WebFetch,
Plumbing,Holt Plumbing Company,holtplumbing.com,Old Hickory/Nashville,TN,"Since 1988; 2 locations; 7 counties",WebFetch,Strong size fit
Plumbing,Jack Ward & Sons Plumbing,jackwardandsonsplumbing.com,Nashville,TN,"Family owned since 1947, 3rd-gen; explicitly not a franchise",WebFetch,
Plumbing,East Brainerd Plumbing & Heating,eastbrainerdplumbing.com,Chattanooga,TN,"In business since 1960 (~65 yrs)",WebFetch,
Plumbing,Zest Plumbing & Drain,callzestplumbing.com,Scottsdale,AZ,"Explicitly ""Local Owner, Not Corporate, Not Private Equity"" since 2008",WebFetch,
Plumbing,Superstition Plumbing,superstitionplumbing.com,Mesa,AZ,"Explicitly ""not a national franchise, not backed by private equity"" since 1981",WebFetch,
Plumbing,Sunstate Plumbing,sunstateplumbinginc.com,Glendale,AZ,"Locally/family owned since 1989 (36 yrs); A+ BBB",WebFetch,
Plumbing,Ben's Plumbing,bens.plumbing,Seattle,WA,"Family owned since 1995; recently absorbed Wezee's Plumbing; 2 facilities",WebFetch,
Plumbing,Bowers Plumbing & Remodel,bowersplumbingllc.com,Puyallup,WA,"Locally/family owned since 2010; 4 counties, 70+ communities",WebFetch,
Plumbing,Associated Plumbing & Sewer Service,associatedplumbing.com,Ann Arbor,MI,"Family-run since 1962 (~63 yrs); 3 counties",WebFetch,
Plumbing,Bison Plumbing,mybisonplumbing.com,Warren,MI,"Family owned since Dec 1998; ~20 employees visible; 3,000+ reviews",WebFetch,Strong size fit
Plumbing,Kenowa Plumbing,kenowaplumbing.com,Grandville,MI,"Family owned since 1980 (45+ yrs); 25+ cities",WebFetch,
Plumbing,Gill Plumbing,gillplumbingandheating.net,Southgate,MI,"Family owned since 1954 (~71 yrs)",Snippet-verified (403 on fetch),
Plumbing,Your Plumber & Sons,yourplumberva.com,Centreville,VA,"Family owned, 30+ yrs Northern VA",WebFetch,
Plumbing,Denny's Plumbing,dennysplumbingva.com,Virginia Beach,VA,"Family owned since 1992; 4 cities",WebFetch,
Plumbing,Eddie's Plumbing Company,eddiesplumbingcompany.com,Alexandria area,VA,"Family owned; 14+ named NoVA communities",Snippet-verified (403 on fetch),
Plumbing,Aqua City Plumbing,aquacityplumbing.com,Minneapolis,MN,"Family owned since 1963 (60+ yrs); expanded into 2 companies",WebFetch,
Plumbing,Blaylock Plumbing Company,blaylockplumbing.com,Richfield/Bloomington,MN,"Independently family owned since 1938 (~87 yrs); 2 offices",WebFetch,
Plumbing,Meetze Plumbing,meetzeplumbing.com,Columbia,SC,"3rd-gen family owned since 1981; 3 offices",WebFetch,
Plumbing,ADW Plumbing,adwplumbing.com,Spartanburg,SC,"Locally/family owned, 30+ yrs",WebFetch,
Electrical,C & F Electrical,candfelectrical.com,Royse City/DFW,TX,"Family owned since 1977; 13+ counties",WebFetch,Leans commercial - verify residential mix
Electrical,"Aaron-Carter Electric, Inc.",aaroncarterelectric.com,Houston,TX,"Family owned since 1998; explicitly ""not a franchise""; 4,000+ customers",WebFetch,
Electrical,Colwell Electric,colwellelectric.com,Houston,TX,"2nd-gen family owned since 1990; 7 master electricians + techs",WebFetch,
Electrical,Texas Electric and Light,texaselectricandlight.com,Dripping Springs/Austin,TX,"Founder-owned since 2004; team 50+ combined yrs",WebFetch,
Electrical,"CEO Electric Services, LLC",ceoelectric.com,Goshen/Cincinnati,OH,"Locally owned 10+ yrs",WebFetch,
Electrical,We Power Electric LLC,wepowerelectric.com,Delaware,OH,"Family owned since 2022; team 16+ combined yrs",WebFetch,
Electrical,Carter Electrical Contractors,carterelectricalcontractors.com,Chapel Hill,NC,"Family owned since 1993; owner 25+ yrs experience; 4 counties",WebFetch,
Electrical,Bretco Electric Company,bretcoelectric.com,Winston-Salem,NC,"Locally/family owned since 1990 (30+ yrs)",WebFetch,
Electrical,Nash Electric,nashelectricnc.com,Jacksonville,NC,"Locally/family owned; 6+ towns",WebFetch,
Electrical,F&R Electrical Contractors,frelectricalcontractors.com,Cary/Chapel Hill/Fayetteville,NC,"Locally owned, family-run, licensed/bonded/insured",WebFetch,
Electrical,The Electric Way,theelectricway.com,Colorado Springs,CO,"Family owned, 15+ yrs; 14+ communities",WebFetch,
Electrical,TriCities Electric,tricitieselectric.com,Kingsport/Johnson City/Bristol,TN,"Family owned; ~1,000 homes serviced/3 yrs; explicitly not a franchise",WebFetch,
Electrical,"Shane Electric, LLC",shaneelectricllc.com,Mount Juliet/Nashville,TN,"Locally owned since 2011; 21+ municipalities",WebFetch,
Electrical,Eubank Electric,eubankelectric.com,Murfreesboro,TN,"Locally/family owned since 1992 (30+ yrs)",WebFetch,
Electrical,"GAC Electrical Contractors, LLC",gacelectrical.com,Rockmart,GA,"Family-operated; serves Atlanta metro",WebFetch,
Electrical,"Penco Electrical Contractors, Inc.",pencoelectric.com,Morrow/Atlanta,GA,"Family owned since 1983, 2nd-gen; licensed in 6 states",WebFetch,
Electrical,Local Electric,localelectricco.com,Woodstock,GA,"Family/locally owned, 30+ yrs; 8+ cities",Snippet-verified (403 on fetch),
Electrical,Root Electric,rootelectric.com,Woodbridge/Northern VA,VA,"Family owned since 1986 (40 yrs); 5-county region",WebFetch,
Electrical,"Nipper Electric, Inc.",nipperelectric.com,Virginia Beach,VA,"Family owned since 1997; 3 locations",WebFetch,
Electrical,U.S. Electric,us-electric.com,Richmond,VA,"Locally owned, 30 yrs experience",WebFetch,
Electrical,"McChesney Electric, Inc",mcchesneyelectric.com,Detroit Tri-County,MI,"Family owned since 2003; BBB accredited",WebFetch,
Electrical,Speer Electric,speer-electric.com,Lansing,MI,"Family owned since 2007; 12+ cities",WebFetch,
Electrical,Noonan Electrical Services,noonanelectricalservices.com,Livonia/Brighton,MI,"Family owned; 2 locations; 900+ reviews",WebFetch,
Electrical,Southwestern Electric Company Inc.,sweco1948.com,St. Louis,MO,"Locally/family owned since 1948 (75+ yrs)",WebFetch,
Electrical,CK Electric & More,ckelectricandmore.com,Fenton/Greater St. Louis,MO,"Family owned since 2004; 40+ municipalities/4 counties",WebFetch,
Electrical,Brda Electric Inc.,brdaelectric.com,St. Louis,MO,"Family owned since 1989 (35+ yrs); MO + Southern IL",WebFetch,
Electrical,Portland Metro Electric,portlandmetroelectric.com,Happy Valley/Portland,OR,"Family owned since 2000; 570+ reviews; OR/WA licensed",WebFetch,
Electrical,ZZ Electric LLC,medfordorelectricianservices.com,Medford,OR,"Family/locally owned since 2010; team 30+ combined yrs",WebFetch,
Electrical,Pacific Northwest Electric Inc.,pacificnwelectric.com,Oregon City/Portland,OR,"Family owned, 30+ yrs; 2 offices",WebFetch,
Electrical,Camson Electric,camsonelectric.com,Salt Lake City,UT,"Family owned since 2007; grew from small residential shop",WebFetch,
Electrical,"Searl Electric, Inc.",searlelectric.com,Oregon,WI,"Independent since 1959 (65+ yrs); 4 counties",WebFetch,
Electrical,Redland Electric LLC,redlandelectric.com,Duncan/Greenville,SC,"Locally owned by Master Electrician David Tkach; 15+ towns/3 counties",WebFetch,
Electrical,"Wired SC (Wired, LLC)",wiredsc.com,Myrtle Beach,SC,"Family owned since 2001; 3 counties",WebFetch,
Electrical,Southwest Florida Electric Inc.,swflelectric.com,Fort Myers,FL,"Family/locally owned; 3 counties",WebFetch,
Electrical,Pat Myers Electric,patmyerselectric.com,Ocala,FL,"Family owned by Pat & Sarah Myers; 20+ yrs",WebFetch,
Electrical,"JKR Electric, LLC",jkrelectricllc.com,Indiana,PA,"Independent since 2013; 3+ counties",WebFetch,
Electrical,"Frye Electric, Inc.",fryeelectricinc.com,Avon/Indianapolis,IN,"Family owned since 1974 (50+ yrs); fully stocked trucks",WebFetch,
Electrical,Watt Masters,wattmasters.com,Phoenix,AZ,"4th-gen family owned since 1999; 3,500+ customers; 19+ communities",WebFetch,
Roofing,Apex Roofing,apexroofing.com,Fort Worth,TX,"Family run since 1998; 2,367 roofs replaced",WebFetch,
Roofing,Lynx Roofing,lynxroof.com,San Antonio,TX,"Family run; explicitly markets against ""storm chasers""",WebFetch,
Roofing,Pearson Family Roofing,pearsonfamilyroofing.com,Elgin,TX,"Locally owned ~40 yrs; Owens Corning Preferred Contractor",WebFetch,
Roofing,Georgia Roof Advisors,georgiaroofadvisors.com,Marietta,GA,"Family owned since 2009; GAF Master Elite + Metal TimberSteel Certified",WebFetch,
Roofing,Atlanta Roofing Specialists,atlantaroofingspecialists.com,Marietta,GA,"Family owned since 1993; 50+ employees, multiple crews",WebFetch,Possible upper-range scale
Roofing,Golden Roofing,goldenroofingnc.com,Zebulon,NC,"Locally/family owned 15+ yrs; explicitly ""not a franchise or national chain""",WebFetch,
Roofing,Artisan Quality Roofing,artisanqualityroofing.com,Apex,NC,"Local family owned 15-20+ yrs; 18+ in-house techs, no subs",WebFetch,
Roofing,Roof Roof Roofing,roofroofroofs.com,Asheville/Hendersonville,NC,"Locally owned 30+ yrs; 15-16 person crew",WebFetch,
Roofing,Benedict Roofing,benedictroofing.com,Columbia Station,OH,"3-gen family owned, 60+ yrs; licensed 20+ cities",WebFetch,
Roofing,West Side Roofing,westsideroofing.com,Cleveland,OH,"3-gen family owned since 1931; GAF Master Elite; 42 municipalities",WebFetch,
Roofing,Absolute Roofing & Construction,absoluteroofing.com,Cleveland,OH,"Family owned by brothers Kamis since 1987",Snippet-verified (403 on fetch),
Roofing,Core Roofing Systems,coreroofing.com,Denver,CO,"Locally owned since 2001; GAF Master Elite + Owens Corning Platinum",WebFetch,
Roofing,"Divine Roofing, Inc.",divineroofinginc.com,Colorado Springs,CO,"Family owned since 2012; GAF Master Elite; 5,000+ customers",WebFetch,
Roofing,Mobley Brothers Roofing and Renovation,mobleybros.com,Knoxville/Lebanon,TN,"Family owned since 2007; GAF Master Elite; 2nd gen joining",WebFetch,
Roofing,Quality Exteriors (QE Construction LLC),qualityexteriors.com,Nashville,TN,"Family owned since 2006; GAF Master Elite President's Club (top 1%)",WebFetch,
Roofing,Billy's Roofing,billysroofing.com,Metro Detroit,MI,"Family owned since 1988 (35+ yrs)",WebFetch,
Roofing,Rycam Roofing,rycamroof.com,Albion,MI,"Family owned since 1994 (30+ yrs); statewide",WebFetch,
Roofing,RL Roofing Service,rlroofingservice.com,Michigan City,IN,"Family owned since 1985; CertainTeed SELECT ShingleMaster",WebFetch,
Roofing,Modern Day Roofing,moderndayroof.com,Christiansburg,VA,"Family owned, locally operated; GAF Master Elite (top 2%)",WebFetch,
Roofing,Peak Roofing Contractors,peakroofingcontractors.com,Warrenton,VA,"Family owned 19+ yrs; 6+ counties",WebFetch,
Roofing,Vaught Roofing Company,vaughtroofing.com,Grandview,MO,"Family owned 55+ yrs (1967); GAF Master Elite + CertainTeed",WebFetch,
Roofing,Headlee Roofing,headleeroofing.com,Phoenix/Tucson,AZ,"Family owned since 1981 (40+ yrs); AZ Roofing Contractors Assoc. member since 1982",WebFetch,
Roofing,Scott Roofing Company,scottroofingco.com,Phoenix/Tucson,AZ,"Family owned since 1982; 40,000+ AZ residents served",WebFetch,
Roofing,Right Way Roofing,azroof.com,Mesa,AZ,"3rd-gen family owned since 1963",WebFetch,
Roofing,"Advanced Roofing & Siding, Inc.",advancedroofingmn.com,Oak Grove,MN,"Family owned since 1993; own crews, no subcontracting; GAF Master Elite",WebFetch,
Roofing,Garlock-French Roofing,garlock-french.com,Minneapolis,MN,"2nd-gen family team since 1932 (90+ yrs); GAF Master Elite",WebFetch,
Roofing,"New Life Contracting, Inc.",newlifecontracting.com,St. Paul,MN,"Family owned since 1993; GAF Master Elite",WebFetch,Expanded into WI/CO - larger footprint
Roofing,Infinity Exteriors,infinityroofing.com,Waukesha,WI,"Family owned since 1997; multi-city (Milwaukee/Madison/Appleton)",WebFetch,
Roofing,"All-State Roofing, Inc.",all-stateroofing.com,Madison,WI,"Family owned 48+ yrs; CertainTeed Select ShingleMaster",WebFetch,
Roofing,Super Roofing Company,superroofingcompany.com,Fort Mill,SC,"CertainTeed ShingleMaster Premier elite",WebFetch,Weaker signal - no founding year found
Roofing,Central Roofing and Contracting,centralroofingusa.com,Columbia,SC,"Family owned 25+ yrs",WebFetch,
Roofing,East Penn Roofing LLC,eastpennroofing.com,Lehigh Valley,PA,"25+ yrs per 3rd-party listing",WebFetch,Weaker signal - ownership not confirmed on-site
Roofing,C&C Family Roofing,candcfamilyroofing.com,Hatboro,PA,"Family owned ~30 yrs; GAF Master Elite + CertainTeed",WebFetch,
Roofing,All Roofing Solutions,allroofingsolutionsde.com,Media,PA,"Family owned since 1998; own crew, no subcontractors",WebFetch,
Roofing,Arrowhead Roofing,arrowheadroofingokc.com,Edmond,OK,"Founder-led since 1987; OK's first GAF Master Elite; explicitly contrasts vs. ""private-equity rollups""",WebFetch,
Roofing,Gilford and Sons Roofing,gilfordandsonsroofing.com,Henderson,KY,"Family owned 55-60+ yrs; GAF Master Elite",WebFetch,
Roofing,44 Roofing & Construction,44roofing.com,Mt. Washington,KY,"Family/locally owned; GAF Master Elite (top 2%)",WebFetch,Weaker signal - no founding year found
